name,place_of_birth,citizenship,national_team,birth_country,is_naturalized
Mohammad Abu Hasheesh,,Jordan  Iraq,Jordan,,True
Mohannad Abu Taha,Amman,Jordan,Jordan,Jordan,False
Mohammad Taha,,Jordan,Jordan,,True
Nizar Al-Rashdan,Irbid,Jordan,Jordan,Jordan,False
Noor Al-Rawabdeh,Amman,Jordan,Jordan,Jordan,False
Amer Jamous,,Jordan,Jordan,,True
Ibrahim Saadeh,Zarqa,Jordan,Jordan,Jordan,False
Mohammad Al-Dawoud,,Jordan,Jordan,,True
Yousef Qashi,,Jordan  Germany,Jordan,,True
Ahmad Assaf,München,Jordan  Germany,Jordan,Germany,True
Mahmoud Al-Mardi,Aqaba,Jordan,Jordan,Jordan,False
Odeh Fakhoury,,Jordan,Jordan,,True
Mousa Tamari,Amman,Jordan,Jordan,Jordan,False
Shararh,Ar-Ramtha,Jordan,Jordan,Jordan,False
Ali Azaizeh,-,Jordan  Germany,Jordan,,True
Ibrahim Sabra,Amman,Jordan,Jordan,Jordan,False
Baha'a Faisal,Zarqa,Jordan,Jordan,Jordan,False
Oufa Shobeir,Giza,Egypt,Egypt,Egypt,False
Mohamed Alaa,,Egypt,Egypt,,True
Mohamed El Shenawy,El Hamool,Egypt,Egypt,,True
El Mahdi Soliman,,Egypt,Egypt,,True
Mohamed Abdelmonem,Zagazig,Egypt,Egypt,Egypt,False
Hossam Abdelmaguid,,Egypt,Egypt,,True
Ramy Rabia,Kairo,Egypt,Egypt,Egypt,False
Yasser Ibrahim,Mansoura,Egypt,Egypt,Cyprus,True
Ahmed Fatouh,Kairo,Egypt,Egypt,Egypt,False
Karim Hafez,Beheira,Egypt,Egypt,Egypt,False
Mohamed Hany,Kairo,Egypt,Egypt,Egypt,False
Tarek Alaa,,Egypt,Egypt,,True
Marwan Ateya,Kafr El Dawwar,Egypt,Egypt,,True
Mohanad Lasheen,Kairo,Egypt,Egypt,Egypt,False
Hamdy Fathy,Behira,Egypt,Egypt,India,True
Nabil Dunga,,Egypt,Egypt,,True
Emam Ashour,El Senbellawein,Egypt,Egypt,Egypt,False
Mahmoud Saber,Desouk,Egypt,Egypt,Egypt,False
Trezeguet,Kafr El-Sheikh,Egypt,Egypt,Egypt,False
Ibrahim Adel,Port Said,Egypt,Egypt,Egypt,False
Mostafa Ziko,Alexandria,Egypt,Egypt,Egypt,False
Mohamed Salah,"Nagrig, Basyoun",Egypt,Egypt,,True
Haissem Hassan,Bagnolet,Egypt  France,Egypt,France,True
Zizo,Minya,Egypt,Egypt,Egypt,False
Omar Marmoush,Cairo,Egypt  Canada,Egypt,Egypt,False
Hamza Abdelkarim,Kairo,Egypt,Egypt,Egypt,False
Aqtay Abdallah,,Egypt,Egypt,,True
Meshaal Barsham,Khartoum,Qatar  Sudan,Qatar,Sudan,True
Mahmoud Abunada,Doha,Qatar  Palestine,Qatar,Qatar,False
Shehab Ellethy,-,Qatar  Egypt,Qatar,,True
Tarek Salman,Al-Wakrah,Qatar  Egypt,Qatar,Qatar,False
Lucas Mendes,Curitiba,Qatar  Brazil,Qatar,Brazil,True
Youssef Ayman,-,Qatar  Egypt,Qatar,,True
Niall Mason,Brighton,Qatar  United States,Qatar,United Kingdom,True
Al-Hashmi Al-Hussain,-,Qatar  Sudan,Qatar,,True
Issa Laye,-,Qatar  Senegal,Qatar,,True
Homam Al-Amin,Doha,Qatar  Sudan,Qatar,Qatar,False
Mohammed Waad,"---, Baghdad",Qatar  Iraq,Qatar,Iraq,True
Sultan Al-Brake,Doha,Qatar,Qatar,Qatar,False
Ayoub Al-Oui,,Qatar,Qatar,,True
Jassem Gaber,Doha,Qatar  Egypt,Qatar,Qatar,False
Mohamed Al-Mannai,,Qatar  Tunisia,Qatar,,True
Assim Madibo,Khartoum,Qatar  Sudan,Qatar,Sudan,True
Ahmed Fathi,Doha,Qatar  Egypt,Qatar,Qatar,False
Abdulaziz Hatim,Doha,Qatar  Sudan,Qatar,Qatar,False
Anas Abweny,,Qatar  Jordan,Qatar,,True
Akram Afif,Doha,Qatar  Yemen,Qatar,Qatar,False
Edmílson Junior,Liège,Qatar  Brazil,Qatar,Belgium,True
Mohamed Khaled Gouda,,Qatar  Egypt,Qatar,,True
Khalid Ali Sabah,,Qatar  Yemen,Qatar,,True
Ahmed Alaaeldin,Ismailia,Qatar  Egypt,Qatar,Egypt,True
Mohammed Muntari,Kumasi,Qatar  Ghana,Qatar,Ghana,True
Alexander Nübel,Paderborn,Germany,Germany,Germany,False
Manuel Neuer,Gelsenkirchen,Germany,Germany,Germany,False
Oliver Baumann,Breisach am Rhein,Germany,Germany,Germany,False
Nico Schlotterbeck,Waiblingen,Germany,Germany,Germany,False
Malick Thiaw,Düsseldorf,Germany  Finland,Germany,Germany,False
Jonathan Tah,Hamburg,Germany  Cote d'Ivoire,Germany,Germany,False
Waldemar Anton,Almalyk,Germany,Germany,Uzbekistan,True
Antonio Rüdiger,Berlin,Germany  Sierra Leone,Germany,Germany,False
Nathaniel Brown,Amberg,Germany  United States,Germany,Germany,False
David Raum,Nürnberg,Germany,Germany,Germany,False
Aleksandar Pavlovic,München,Germany  Serbia,Germany,Germany,False
Angelo Stiller,München,Germany,Germany,Germany,False
Joshua Kimmich,Rottweil,Germany,Germany,Germany,False
Felix Nmecha,Hamburg,Germany  England,Germany,Germany,False
Nadiem Amiri,Ludwigshafen am Rhein,Germany,Germany,Germany,False
Leon Goretzka,Bochum,Germany,Germany,Germany,False
Pascal Groß,Mannheim,Germany,Germany,Germany,False
Jamal Musiala,Stuttgart,Germany  England,Germany,Germany,False
Florian Wirtz,Pulheim,Germany,Germany,Germany,False
Lennart Karl,Frammersbach,Germany,Germany,Germany,False
Jamie Leweling,Nürnberg,Germany  Ghana,Germany,Germany,False
Leroy Sané,Essen,Germany  France,Germany,Germany,False
Nick Woltemade,Bremen,Germany,Germany,Germany,False
Kai Havertz,Aachen,Germany,Germany,Germany,False
Maximilian Beier,Brandenburg an der Havel,Germany,Germany,Germany,False
Deniz Undav,Varel,Germany,Germany,Germany,False
Dayne St. Clair,"Pickering, Ontario",Canada  Trinidad and Tobago,Canada,Canada,False
Maxime Crépeau,"Greenfield Park, Québec",Canada,Canada,Canada,False
Owen Goodman,London,Canada  England,Canada,United Kingdom,True
Derek Cornelius,"Ajax, Ontario",Canada  Jamaica,Canada,Canada,False
Joel Waterman,"Langley, British Columbia",Canada,Canada,Canada,False
Kamal Miller,"Scarborough, Ontario",Canada  Jamaica,Canada,Canada,False
Luc De Fougerolles,London,Canada  England,Canada,United Kingdom,True
Jahkeele Marshall-Rutty,"Brampton, Ontario",Canada  Jamaica,Canada,Canada,False
Richie Laryea,"Toronto, Ontario",Canada  Ghana,Canada,Canada,False
Niko Sigur,"Burnaby, British Columbia",Canada  Croatia,Canada,Canada,False
Ralph Priso,"Toronto, Ontario",Canada  Cameroon,Canada,Canada,False
Ismaël Koné,Abidjan,Canada  Cote d'Ivoire,Canada,Côte d'Ivoire,True
Nathan-Dylan Saliba,"Longueuil, Québec",Canada  Haiti,Canada,Canada,False
Jonathan Osorio,"Toronto, Ontario",Canada  Colombia,Canada,Canada,False
Mathieu Choinière,"Saint-Alexandre, Québec",Canada,Canada,Canada,False
Ali Ahmed,"Toronto, Ontario",Canada  Ethiopia,Canada,Canada,False
Marcelo Flores,"Georgetown, Ontario",Canada  Mexico,Canada,Canada,False
Liam Millar,"Toronto, Ontario",Canada  England,Canada,Canada,False
Junior Hoilett,"Brampton, Ontario",Canada  Jamaica,Canada,Canada,False
Tajon Buchanan,"Brampton, Ontario",Canada  Jamaica,Canada,Canada,False
Jonathan David,"Brooklyn, New York",Canada  United States,Canada,United States,True
Tani Oluwaseyi,Abuja,Canada  Nigeria,Canada,Nigeria,True
Daniel Jebbison,"Oakville, Ontario",Canada  England,Canada,Canada,False
Cyle Larin,"Brampton, Ontario",Canada  Jamaica,Canada,Canada,False
Jacen Russell-Rowe,"Toronto, Ontario",Canada  Jamaica,Canada,Canada,False
Aribim Pepple,Kettering,Canada  England,Canada,United States,True
Mike Maignan,Cayenne,France  French Guiana,France,France,False
Robin Risser,Colmar,France,France,France,False
Brice Samba,Linzolo,France  Congo,France,Congo-Brazzaville,True
William Saliba,Bondy,France  Cameroon,France,France,False
Dayot Upamecano,Évreux,France  Guinea-Bissau,France,France,False
Ibrahima Konaté,Paris,France  Mali,France,France,False
Maxence Lacroix,Villeneuve-Saint-Georges,France  Guadeloupe,France,France,False
Theo Hernández,Marseille,France  Spain,France,France,False
Lucas Hernández,Marseille,France  Spain,France,France,False
Lucas Digne,Meaux,France,France,France,False
Jules Koundé,Paris,France  Benin,France,France,False
Malo Gusto,Décines-Charpieu,France  Martinique,France,France,False
Aurélien Tchouaméni,Rouen,France  Cameroon,France,France,False
N'Golo Kanté,Paris,France  Mali,France,France,False
Warren Zaïre-Emery,Montreuil,France  Martinique,France,France,False
Manu Koné,Colombes,France  Cote d'Ivoire,France,France,False
Adrien Rabiot,Saint-Maurice,France,France,France,False
Rayan Cherki,Lyon,France  Algeria,France,France,False
Bradley Barcola,Lyon,France  Togo,France,France,False
Michael Olise,London,France  England,France,United Kingdom,True
Désiré Doué,Angers,France  Cote d'Ivoire,France,France,False
Maghnes Akliouche,Tremblay-en-France,France  Algeria,France,France,False
Kylian Mbappé,Paris,France  Cameroon,France,France,False
Ousmane Dembélé,Vernon,France,France,France,False
Marcus Thuram,Parma,France  Guadeloupe,France,Italy,True
Jean-Philippe Mateta,Sevran,France  DR Congo,France,France,False
Diogo Costa,Rothrist,Portugal  Switzerland,Portugal,Switzerland,True
Rui Silva,Maia,Portugal,Portugal,Portugal,False
José Sá,Braga,Portugal,Portugal,Portugal,False
Ricardo Velho,Vila Nova de Famalicão,Portugal,Portugal,Portugal,False
Rúben Dias,Amadora,Portugal,Portugal,Portugal,False
Gonçalo Inácio,Almada,Portugal,Portugal,Portugal,False
Tomás Araújo,Famalicão,Portugal,Portugal,Portugal,False
Renato Veiga,Lisboa,Portugal  Cape Verde,Portugal,Portugal,False
Nuno Mendes,Lisboa,Portugal,Portugal,Portugal,False
Matheus Nunes,Rio de Janeiro,Portugal  Brazil,Portugal,Brazil,True
Diogo Dalot,Braga,Portugal,Portugal,Portugal,False
João Cancelo,Barreiro,Portugal,Portugal,Portugal,False
Nélson Semedo,Lisboa,Portugal  Cape Verde,Portugal,Portugal,False
Vitinha,Vila das Aves,Portugal,Portugal,Portugal,False
Rúben Neves,Santa Maria da Feira,Portugal,Portugal,Portugal,False
Samú Costa,Aveiro,Portugal,Portugal,Portugal,False
João Neves,Tavira,Portugal,Portugal,Portugal,False
Bruno Fernandes,Maia,Portugal,Portugal,Portugal,False
Francisco Trincão,Viana do Castelo,Portugal,Portugal,Portugal,False
Bernardo Silva,Lisboa,Portugal,Portugal,Portugal,False
Rafael Leão,Almada,Portugal  Angola,Portugal,Portugal,False
Gonçalo Guedes,Benavente,Portugal,Portugal,Spain,True
Pedro Neto,Viana do Castelo,Portugal,Portugal,Portugal,False
Francisco Conceição,Coimbra,Portugal,Portugal,Portugal,False
João Félix,Viseu,Portugal,Portugal,Portugal,False
Gonçalo Ramos,Olhão,Portugal,Portugal,Portugal,False
Cristiano Ronaldo,Funchal,Portugal,Portugal,Portugal,False
Joan García,Sallent de Llobregat,Spain,Spain,Spain,False
David Raya,Barcelona,Spain,Spain,Spain,False
Unai Simón,Vitoria-Gasteiz,Spain,Spain,Spain,False
Álex Remiro,Cascante,Spain,Spain,Spain,False
Pau Cubarsí,Estanyol,Spain,Spain,Spain,False
Dean Huijsen,Amsterdam,Spain  Netherlands,Spain,Netherlands,True
Cristhian Mosquera,Alicante,Spain  Colombia,Spain,Spain,False
Aymeric Laporte,Agen,Spain  France,Spain,France,True
Marc Cucurella,Alella,Spain,Spain,Spain,False
Alejandro Grimaldo,Valencia,Spain,Spain,Spain,False
Pedro Porro,Don Benito,Spain,Spain,Spain,False
Marcos Llorente,Madrid,Spain,Spain,Spain,False
Martín Zubimendi,Donostia-San Sebastián,Spain,Spain,Spain,False
Rodri,Madrid,Spain,Spain,Spain,False
Pedri,Tegueste,Spain,Spain,Spain,False
Carlos Soler,Valencia,Spain,Spain,Spain,False
Pablo Fornals,Castelló de la Plana,Spain,Spain,Spain,False
Fermín López,El Campillo,Spain,Spain,Spain,False
Dani Olmo,Terrassa,Spain,Spain,Spain,False
Álex Baena,Roquetas de Mar,Spain,Spain,Spain,False
Víctor Muñoz,Barcelona,Spain,Spain,Spain,False
Ander Barrenetxea,Donostia-San Sebastián,Spain,Spain,Spain,False
Lamine Yamal,Esplugues de Llobregat,Spain,Spain,Spain,False
Yéremy Pino,Las Palmas de Gran Canaria,Spain,Spain,Spain,False
Ferran Torres,Foios,Spain,Spain,Spain,False
Mikel Oyarzabal,Eibar,Spain,Spain,Spain,False
Borja Iglesias,Santiago de Compostela,Spain,Spain,Spain,False
Orlando Gill,San Lorenzo,Paraguay,Paraguay,France,True
Gastón Olveira,Montevideo,Paraguay  Uruguay,Paraguay,Uruguay,True
Roberto Fernández,Asunción,Paraguay,Paraguay,Paraguay,False
Omar Alderete,Asunción,Paraguay,Paraguay,Paraguay,False
Gustavo Gómez,Misiones,Paraguay,Paraguay,Argentina,True
José Canale,Itauguá,Paraguay,Paraguay,Paraguay,False
Júnior Alonso,Asunción,Paraguay,Paraguay,Paraguay,False
Fabián Balbuena,Ciudad del Este,Paraguay,Paraguay,Paraguay,False
Gustavo Velázquez,Villa del Rosario,Paraguay,Paraguay,Colombia,True
Alexandro Maidana,Caacupé,Paraguay,Paraguay,Paraguay,False
Juan José Cáceres,Dock Sud,Paraguay  Argentina,Paraguay,Argentina,True
Alan Benítez,Asunción,Paraguay,Paraguay,Paraguay,False
Braian Ojeda,Itauguá,Paraguay,Paraguay,Paraguay,False
Lucas Romero,Choré,Paraguay,Paraguay,Paraguay,False
Diego Gómez,San Juan Bautista,Paraguay,Paraguay,Argentina,True
Damián Bobadilla,Asunción,Paraguay,Paraguay,Paraguay,False
Matías Galarza,Asunción,Paraguay  Bolivia,Paraguay,Paraguay,False
Julio Enciso,Caaguazú,Paraguay,Paraguay,Paraguay,False
Mauricio,São Paulo,Paraguay  Brazil,Paraguay,Brazil,True
Gustavo Caballero,San Lorenzo,Paraguay,Paraguay,France,True
Miguel Almirón,Asunción,Paraguay,Paraguay,Paraguay,False
Ramón Sosa,Maracaná,Paraguay  Argentina,Paraguay,Brazil,True
Álex Arce,Carapeguá,Paraguay,Paraguay,Paraguay,False
Antonio Sanabria,San Lorenzo,Paraguay  Spain,Paraguay,France,True
Gabriel Ávalos,Hohenau,Paraguay,Paraguay,Austria,True
Alexandre Pierre,Aubervilliers,Haiti  France,Haiti,France,True
Johny Placide,Montfermeil,Haiti  France,Haiti,France,True
Josué Duverger,"Montréal, Québec",Haiti  Canada,Haiti,Canada,True
Hannes Delcroix,Petite-Rivière-de-l'Artibonite,Haiti  Belgium,Haiti,Haiti,False
Jean-Kévin Duverne,Paris,Haiti  France,Haiti,France,True
Ricardo Adé,Saint-Marc,Haiti,Haiti,France,True
Keeto Thermoncy,Fribourg,Haiti  Switzerland,Haiti,Switzerland,True
Martin Expérience,Châteaubriant,Haiti  France,Haiti,France,True
Duke Lacroix,"New Egypt, New Jersey",Haiti  United States,Haiti,United States,True
Carlens Arcus,Port-au-Prince,Haiti,Haiti,Haiti,False
Wilguens Paugain,Thomazeau,Haiti  France,Haiti,Haiti,False
Danley Jean Jacques,Petit-Goâve,Haiti,Haiti,Haiti,False
Leverton Pierre,Tabarre,Haiti,Haiti,Haiti,False
Dominique Simon,Pontoise,Haiti  France,Haiti,France,True
Carl Sainté,Grand-Goâve,Haiti,Haiti,Haiti,False
Woodensky Pierre,Cité Soleil,Haiti,Haiti,Haiti,False
Jean-Ricner Bellegarde,Colombes,Haiti  France,Haiti,France,True
Derrick Etienne Jr.,"Richmond, Virginia",Haiti  United States,Haiti,United States,True
Ruben Providence,Lagny-sur-Marne,Haiti  France,Haiti,France,True
Josué Casimir,Baie-Mahault,Haiti  Guadeloupe,Haiti,France,True
Louicius Deedson,Tabarre,Haiti  United States,Haiti,Haiti,False
Wilson Isidor,Rennes,Haiti  France,Haiti,France,True
Lenny Joseph,Paris,Haiti  France,Haiti,France,True
Frantzdy Pierrot,Cap-Haïtien,Haiti  United States,Haiti,Haiti,False
Duckens Nazon,Châtenay-Malabry,Haiti  France,Haiti,France,True
Yassin Fortuné,Aubervilliers,Haiti  France,Haiti,France,True
Matthieu Epolo,Brussel,DR Congo  Belgium,Democratic Republic of Congo,Belgium,True
Timothy Fayulu,Genève,DR Congo  Switzerland,Democratic Republic of Congo,Switzerland,True
Lionel Mpasi-Nzau,Meaux,DR Congo  France,Democratic Republic of Congo,France,True
Axel Tuanzebe,Bunia,DR Congo  England,Democratic Republic of Congo,Democratic Republic of the Congo,True
Chancel Mbemba,Kinshasa,DR Congo,Democratic Republic of Congo,Democratic Republic of the Congo,True
Steve Kapuadi,Le Mans,DR Congo  France,Democratic Republic of Congo,France,True
Dylan Batubinsika,Cergy-Pontoise,DR Congo  France,Democratic Republic of Congo,France,True
Joris Kayembe,Brussel,DR Congo  Belgium,Democratic Republic of Congo,Belgium,True
Arthur Masuaku,Lille,DR Congo  France,Democratic Republic of Congo,France,True
Aaron Wan-Bissaka,London,DR Congo  England,Democratic Republic of Congo,United Kingdom,True
Gédéon Kalulu,Lyon,DR Congo  France,Democratic Republic of Congo,France,True
Ngal'ayel Mukau,Antwerpen,DR Congo  Belgium,Democratic Republic of Congo,Belgium,True
Charles Pickel,Solothurn,DR Congo  Switzerland,Democratic Republic of Congo,Switzerland,True
Noah Sadiki,Brussel,DR Congo  Belgium,Democratic Republic of Congo,Belgium,True
Edo Kayembe,Kananga,DR Congo,Democratic Republic of Congo,Democratic Republic of the Congo,True
Samuel Moutoussamy,Paris,DR Congo  France,Democratic Republic of Congo,France,True
Aaron Tshibola,London,DR Congo  England,Democratic Republic of Congo,United Kingdom,True
Meschack Elia,Kinshasa,DR Congo,Democratic Republic of Congo,Democratic Republic of the Congo,True
Gaël Kakuta,Lille,DR Congo  France,Democratic Republic of Congo,France,True
Nathanaël Mbuku,Villeneuve-Saint-Georges,DR Congo  France,Democratic Republic of Congo,France,True
Brian Cipenga,Kinshasa,DR Congo,Democratic Republic of Congo,Democratic Republic of the Congo,True
Théo Bongonda,Charleroi,DR Congo  Belgium,Democratic Republic of Congo,Belgium,True
Yoane Wissa,Villeneuve-Saint-Georges,DR Congo  France,Democratic Republic of Congo,France,True
Simon Banza,Creil,DR Congo  France,Democratic Republic of Congo,France,True
Fiston Mayele,Mbuji-Mayi,DR Congo,Democratic Republic of Congo,Democratic Republic of the Congo,True
Cédric Bakambu,Ivry-sur-Seine,DR Congo  France,Democratic Republic of Congo,France,True
Sipho Chaine,"Bloemfontein, Free State",South Africa,South Africa,South Africa,False
Ronwen Williams,"Port Elizabeth, Eastern Cape",South Africa,South Africa,South Africa,False
Ricardo Goss,"Durban, KwaZulu-Natal",South Africa,South Africa,South Africa,False
Brandon Petersen,"Cape Town, Western Cape",South Africa,South Africa,South Africa,False
Mbekezeli Mbokazi,"Hluhluwe, KwaZulu-Natal",South Africa,South Africa,South Africa,False
Olwethu Makhanya,"Durban, KwaZulu Natal",South Africa,South Africa,South Africa,False
Ime Okon,Johannesburg,South Africa  Nigeria,South Africa,South Africa,False
Nkosinathi Sibisi,"Durban, KwaZulu-Natal",South Africa,South Africa,South Africa,False
Khulumani Ndamane,"Sahlumbe, KwaZulu-Natal",South Africa,South Africa,,True
Samukele Kabini,,South Africa,South Africa,,True
Aubrey Modiba,"Polokwane, Limpopo",South Africa,South Africa,South Africa,False
Bradley Cross,"Kempton Park, Gauteng",South Africa  England,South Africa,South Africa,False
Khuliso Mudau,"Musina, Limpopo",South Africa,South Africa,South Africa,False
Thabiso Monyane,,South Africa,South Africa,,True
Thabang Matuludi,"Dennilton, Limpopo",South Africa,South Africa,South Africa,False
Thapelo Morena,"Randfontein, Gauteng",South Africa,South Africa,South Africa,False
Kamogelo Sebelebele,,South Africa,South Africa,,True
Teboho Mokoena,"Bethlehem, Free State",South Africa,South Africa,South Africa,False
Brooklyn Poggenpoel,,South Africa,South Africa,,True
Thalente Mbatha,"KwaMashu, KwaZulu-Natal",South Africa,South Africa,South Africa,False
Jayden Adams,"Cape Town, Western Cape",South Africa,South Africa,South Africa,False
Yaya Sithole,"Durban, KwaZulu-Natal",South Africa,South Africa,South Africa,False
Lebohang Maboe,"Ratanda, Gauteng",South Africa,South Africa,South Africa,False
Patrick Maswanganyi,"Tembisa, Gauteng",South Africa,South Africa,South Africa,False
Themba Zwane,"Tembisa, Gauteng",South Africa,South Africa,South Africa,False
Oswin Appollis,"Cape Town, Western Cape",South Africa,South Africa,South Africa,False
Relebohile Mofokeng,"Sharpeville, Gauteng",South Africa,South Africa,South Africa,False
Tshepang Moremi,"Sharpeville,  Gauteng",South Africa,South Africa,South Africa,False
Thapelo Maseko,"Sebokeng, Gauteng",South Africa,South Africa,South Africa,False
Bongokuhle Hlongwane,Nxamalala,South Africa,South Africa,South Africa,False
Lyle Foster,"Soweto, Gauteng",South Africa,South Africa,South Africa,False
Iqraam Rayners,"Cape Town, Western Cape",South Africa,South Africa,South Africa,False
Evidence Makgopa,"GaMampa, Limpopo",South Africa,South Africa,,True
Alexander Schlager,Salzburg,Austria,Austria,Austria,False
Florian Wiegele,Graz,Austria,Austria,Austria,False
Patrick Pentz,Salzburg,Austria,Austria,Austria,False
Kevin Danso,Voitsberg,Austria,Austria,Austria,False
Philipp Lienhart,Lilienfeld,Austria,Austria,Austria,False
Marco Friedl,Kirchbichl,Austria,Austria,Austria,False
David Affengruber,Scheibbs,Austria,Austria,Austria,False
Stefan Posch,Judenburg,Austria,Austria,Austria,False
David Alaba,Wien,Austria,Austria,Austria,False
Michael Svoboda,Wien,Austria,Austria,Austria,False
Phillipp Mwene,Wien,Austria  Kenya,Austria,Austria,False
Konrad Laimer,Salzburg,Austria,Austria,Austria,False
Nicolas Seiwald,Kuchl,Austria,Austria,Austria,False
Florian Grillitsch,Neunkirchen,Austria,Austria,France,True
Carney Chukwuemeka,Wien,Austria  England,Austria,Austria,False
Xaver Schlager,Linz,Austria,Austria,Austria,False
Marcel Sabitzer,Wels,Austria,Austria,United Kingdom,True
Alessandro Schöpf,Umhausen,Austria,Austria,Austria,False
Alexander Prass,Hellmonsödt,Austria,Austria,Austria,False
Christoph Baumgartner,Horn,Austria,Austria,Netherlands,True
Paul Wanner,Dornbirn,Austria  Germany,Austria,Austria,False
Romano Schmid,Graz,Austria,Austria,Austria,False
Patrick Wimmer,Tulln,Austria,Austria,Austria,False
Marko Arnautovic,Wien,Austria  Serbia,Austria,Austria,False
Sasa Kalajdzic,Wien,Austria,Austria,Austria,False
Michael Gregoritsch,Graz,Austria,Austria,Austria,False
Alisson,Novo Hamburgo,Brazil,Brazil,Brazil,False
Ederson,Osasco,Brazil  Portugal,Brazil,Italy,True
Weverton,Rio Branco,Brazil,Brazil,Brazil,False
Gabriel,São Paulo,Brazil,Brazil,Brazil,False
Bremer,Itapitanga,Brazil,Brazil,Brazil,False
Marquinhos,São Paulo,Brazil  Portugal,Brazil,Brazil,False
Roger Ibañez,Canela,Brazil  Italy,Brazil,Brazil,False
Léo Pereira,Curitiba,Brazil,Brazil,Brazil,False
Danilo,Bicas,Brazil,Brazil,Brazil,False
Douglas Santos,João Pessoa,Brazil  Russia,Brazil,Brazil,False
Alex Sandro,Catanduva,Brazil,Brazil,Brazil,False
Wesley,Açailândia,Brazil,Brazil,Brazil,False
Fabinho,Campinas,Brazil,Brazil,Brazil,False
Casemiro,São José dos Campos,Brazil  Spain,Brazil,Brazil,False
Bruno Guimarães,Rio de Janeiro,Brazil  Spain,Brazil,Brazil,False
Danilo,Salvador,Brazil,Brazil,Brazil,False
Lucas Paquetá,Rio de Janeiro,Brazil  Portugal,Brazil,Brazil,False
Neymar,Mogi das Cruzes,Brazil  Italy,Brazil,Brazil,False
Vinicius Junior,São Gonçalo,Brazil  Spain,Brazil,Brazil,False
Raphinha,Porto Alegre,Brazil  Italy,Brazil,Região Geográfica Intermediária de Porto Alegre,True
Gabriel Martinelli,Guarulhos,Brazil  Italy,Brazil,Brazil,False
Rayan,Rio de Janeiro,Brazil,Brazil,Brazil,False
Luiz Henrique,Petrópolis,Brazil,Brazil,Russia,True
Matheus Cunha,João Pessoa,Brazil,Brazil,Brazil,False
Igor Thiago,Gama,Brazil  Bulgaria,Brazil,Colombia,True
Endrick,Taguatinga,Brazil,Brazil,Brazil,False
Viktor Johansson,Stockholm,Sweden,Sweden,Sweden,False
Jacob Widell Zetterström,Stockholm,Sweden,Sweden,Sweden,False
Kristoffer Nordfeldt,Stockholm,Sweden,Sweden,Sweden,False
Isak Hien,Kista,Sweden  Ghana,Sweden,Slovakia,True
Victor Lindelöf,Västerås,Sweden,Sweden,Sweden,False
Hjalmar Ekdal,Stockholm,Sweden,Sweden,Sweden,False
Gustaf Lagerbielke,Stockholm,Sweden,Sweden,Sweden,False
Carl Starfelt,Stockholm,Sweden,Sweden,Sweden,False
Eric Smith,Halmstad,Sweden,Sweden,Sweden,False
Daniel Svensson,Stockholm,Sweden,Sweden,Sweden,False
Gabriel Gudmundsson,Malmö,Sweden,Sweden,Sweden,False
Ken Sema,Norrköping,Sweden  DR Congo,Sweden,Sweden,False
Emil Holm,Göteborg,Sweden,Sweden,Sweden,False
Jesper Karlström,Stockholm,Sweden,Sweden,Sweden,False
Lucas Bergvall,Stockholm,Sweden,Sweden,Sweden,False
Yasin Ayari,Solna,Sweden  Tunisia,Sweden,Slovakia,True
Mattias Svanberg,Malmö,Sweden,Sweden,Sweden,False
Besfort Zeneli,Säter,Sweden  Kosovo,Sweden,Sweden,False
Elliot Stroud,Uddevalla,Sweden  England,Sweden,Sweden,False
Taha Ali,Spånga,Sweden  Somalia,Sweden,Sweden,False
Anthony Elanga,Hyllie,Sweden  Cameroon,Sweden,Sweden,False
Benjamin Nygren,Göteborg,Sweden,Sweden,Sweden,False
Alexander Bernhardsson,Göteborg,Sweden,Sweden,Sweden,False
Alexander Isak,Solna,Sweden  Eritrea,Sweden,Slovakia,True
Viktor Gyökeres,Stockholm,Sweden  Hungary,Sweden,Sweden,False
Gustaf Nilsson,Falkenberg,Sweden,Sweden,France,True
Senne Lammens,Zottegem,Belgium,Belgium,Belgium,False
Mike Penders,Maasmechelen,Belgium,Belgium,Belgium,False
Thibaut Courtois,Bree,Belgium,Belgium,Belgium,False
Zeno Debast,Halle,Belgium,Belgium,Germany,True
Koni De Winter,Antwerpen,Belgium  DR Congo,Belgium,Belgium,False
Arthur Theate,Liège,Belgium,Belgium,Belgium,False
Nathan Ngoy,Brussel,Belgium  DR Congo,Belgium,Belgium,False
Brandon Mechele,Bredene,Belgium,Belgium,Belgium,False
Maxim De Cuyper,Knokke-Heist,Belgium,Belgium,Belgium,False
Joaquin Seys,Oostende,Belgium,Belgium,Belgium,False
Timothy Castagne,Arlon,Belgium,Belgium,Belgium,False
Thomas Meunier,Bastogne,Belgium,Belgium,Belgium,False
Amadou Onana,Dakar,Belgium  Senegal,Belgium,Senegal,True
Nicolas Raskin,Liège,Belgium,Belgium,Belgium,False
Axel Witsel,Liège,Belgium  Martinique,Belgium,Belgium,False
Youri Tielemans,Sint-Pieters-Leeuw,Belgium  DR Congo,Belgium,Belgium,False
Alexis Saelemaekers,Berchem-Sainte-Agathe,Belgium,Belgium,Belgium,False
Diego Moreira,Liège,Belgium  Portugal,Belgium,Belgium,False
Charles De Ketelaere,Brugge,Belgium,Belgium,Belgium,False
Kevin De Bruyne,Drongen,Belgium  Burundi,Belgium,Belgium,False
